Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
KFRC,Kforce Inc.,D,C,C,B,C,1601.639224,.5X
KSS,Kohl`s Corp.,A,C,B,C,C,9397.851417,2X
LEVI,Levi Strauss & Co.,F,,,,,2047.205377,.5X
LGND,"Ligand Pharmaceuticals, Inc.",F,D,D,F,D,1866.770992,.5X
LIN,Linde Plc,F,B,B,B,B,160944.752,4X
LITE,Lumentum Holdings Inc,F,,,,,6906.5,2X
LKFN,Lakeland Financial Corp.,D,D,C,B,C,1964.046763,.5X
LLY,Lilly(Eli) & Co,A,B,C,C,C,275150.9281,4X
LOPE,Grand Canyon Education Inc,A,D,C,B,C,4411.944832,1X
AAOI,Applied Optoelectronics Inc,F,D,C,D,D,97.98033848,.25X
ACHC,Acadia Healthcare Company Inc,A,C,C,C,C,5909.415803,1X
ADUS,Addus HomeCare Corporation,F,D,C,D,D,1294.831599,.5X
AER,Aercap Holdings N.V.,F,C,C,D,C,7279.819707,2X
AES,AES Corp.,D,B,B,C,C,15786.06222,2X
AGCO,AGCO Corp.,A,C,C,B,C,9985.597107,2X
AKAM,Akamai Technologies Inc,A,C,C,D,C,19152.0459,2X
AL,Air Lease Corp,D,C,C,D,C,4808.764669,1X
ALE,"Allete, Inc.",D,C,C,C,C,3400.041141,1X
AMD,Advanced Micro Devices Inc.,F,B,B,C,C,137623.0409,4X
AMN,AMN Healthcare Services Inc.,F,C,B,D,C,5015.975493,1X
ANIP,ANI Pharmaceuticals Inc,F,D,D,D,D,347.3511869,.25X
ASPS,Altisource Portfolio Solutions S.A.,D,D,C,C,C,171.8458349,.25X
AYX,Alteryx Inc,A,D,C,D,D,3762.21879,1X
BERY,Berry Global Group Inc,F,B,B,D,C,8164.002,2X
BEST,BEST Inc,A,C,C,D,C,244.425501,.25X
BLD,TopBuild Corp,F,B,C,C,C,7629.36472,2X
BOX,Box Inc,A,D,C,D,C,4246.337749,1X
BRK.B,Berkshire Hathaway Inc.,A,C,D,B,C,453821.0032,4X
BRKR,Bruker Corp,F,C,C,C,C,10366.01266,2X
BRO,"Brown & Brown, Inc.",D,D,C,C,C,19597.03885,2X
BZH,Beazer Homes USA Inc.,F,C,C,C,C,537.6274496,.25X
CAR,Avis Budget Group Inc,A,C,C,C,C,18840.1868,2X
CAT,Caterpillar Inc.,A,B,C,C,C,120941.9218,4X
CBRE,CBRE Group Inc,F,B,B,C,B,30582.22904,4X
CCL,Carnival Corp.,D,B,B,D,C,19091.2029,2X
CHCO,City Holding Co.,D,D,C,B,C,1207.92569,.5X
CHD,"Church & Dwight Co., Inc.",D,B,B,C,B,23802.95849,4X
CHWY,Chewy Inc,F,D,D,B,C,4711.677921,1X
CLVT,Clarivate Plc,F,C,B,D,C,10143.236,2X
CMP,Compass Minerals International Inc,A,C,C,C,C,2048.45023,.5X
CMRX,Chimerix Inc,F,D,C,C,C,457.1236432,.25X
CORE,Core-Mark Hldg Co Inc,A,C,C,C,C,2061.723133,.5X
CRUS,"Cirrus Logic, Inc.",F,C,B,B,B,4824.961256,1X
CSCO,"Cisco Systems, Inc.",F,B,B,C,B,236060.5872,4X
CTLT,Catalent Inc.,F,B,C,D,C,18664.90452,2X
CTSH,Cognizant Technology Solutions Corp.,A,B,C,C,C,48207.77518,4X
CWEN,Clearway Energy Inc,A,C,C,F,D,2971.409548,1X
CYTK,Cytokinetics Inc,F,D,C,C,C,3116.692844,1X
DIS,Walt Disney Co (The),F,B,C,C,C,254942.8613,4X
DKNG,DraftKings Inc,F,D,C,D,C,7915.13501,2X
DOMO,Domo Inc.,D,D,D,C,C,1390.446504,.5X
DPZ,Dominos Pizza Inc,F,C,C,C,C,15318.82134,2X
DT,Dynatrace Inc,F,D,D,B,C,12915.12874,2X
DXCM,Dexcom Inc,F,C,C,C,C,45283.32311,4X
EBAY,EBay Inc.,F,C,C,C,C,36416.1262,4X
EMR,Emerson Electric Co.,A,B,B,C,C,57986.6,4X
ES,Eversource Energy,F,B,C,B,B,28670.15676,4X
EVH,Evolent Health Inc,A,C,C,B,C,2687.847378,1X
EVR,Evercore Inc,F,B,B,B,B,4668.463713,1X
EXPO,Exponent Inc.,F,C,B,B,B,5282.40116,1X
FFIV,F5 Inc,F,D,C,C,C,12301.89024,2X
FIVN,Five9 Inc,F,D,C,D,D,7042.552818,2X
FIZZ,National Beverage Corp.,D,C,C,B,C,4093.963579,1X
FL,Foot Locker Inc,F,C,C,C,C,3357.140339,1X
FLOW,SPX FLOW Inc,D,C,C,B,C,3588.074358,1X
FREQ,Frequency Therapeutics Inc,F,D,C,D,D,87.25884525,.25X
FRPT,Freshpet Inc,A,C,C,C,C,4437.464447,1X
GIS,"General Mills, Inc.",D,B,B,C,C,37801.26593,4X
GL,Globe Life Inc,A,C,C,B,C,9992.015324,2X
GOGO,Gogo Inc,A,D,C,C,C,1957.125604,.5X
GPRE,Green Plains Inc,F,C,C,D,C,1635.243161,.5X
HAIN,Hain Celestial Group Inc,F,B,C,C,C,3251.805555,1X
HEP,Holly Energy Partners L.P.,D,,,,,1733.436904,.5X
HOG,"Harley-Davidson, Inc.",A,B,C,C,C,6207.685818,2X
HPE,Hewlett Packard Enterprise Co,A,B,B,D,C,22289.17224,4X
